# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_OUTSIDE_TREE -6688 2 206 2053 4003040 2 .emacs.d.Prelude/elpa/evil-20191105.920/evil-pkg.el
DUPTYPE_FIRST_OCCURRENCE 11438 4 218 2053 4018665 1 .emacs.d.spBAK/tests/layers/+distribution/spacemacs-base/dotspacemacs.el
DUPTYPE_WITHIN_SAME_TREE -11438 4 218 2053 4018669 1 .emacs.d.spBAK/tests/layers/+distribution/spacemacs/dotspacemacs.el
DUPTYPE_FIRST_OCCURRENCE 920 2 218 2053 4003800 1 .emacs.d.spBAK/.cache/auto-save/31733-vidar~
DUPTYPE_WITHIN_SAME_TREE -920 2 218 2053 4003801 1 .emacs.d.spBAK/.cache/auto-save/32713-vidar~
DUPTYPE_WITHIN_SAME_TREE -920 2 218 2053 4003804 1 .emacs.d.spBAK/.cache/auto-save/543-vidar~
DUPTYPE_FIRST_OCCURRENCE 8082 2 222 2053 4013137 1 .emacs.d.spBAK/elpa/smartparens-20191015.1754/smartparens-pkg.el
DUPTYPE_OUTSIDE_TREE -8082 2 222 2053 4003648 2 .emacs.d.Prelude/elpa/smartparens-20191015.1754/smartparens-pkg.el
DUPTYPE_FIRST_OCCURRENCE 7218 2 226 2053 4012275 1 .emacs.d.spBAK/elpa/ivy-20191110.1116/elpa.el
DUPTYPE_OUTSIDE_TREE -7218 2 226 2053 4003320 2 .emacs.d.Prelude/elpa/ivy-20191108.1139/elpa.el
DUPTYPE_FIRST_OCCURRENCE 6253 3 235 2053 4011310 1 .emacs.d.spBAK/elpa/auto-complete-20170125.245/dict/ess-julia-mode
DUPTYPE_WITHIN_SAME_TREE -6253 3 235 2053 4011315 1 .emacs.d.spBAK/elpa/auto-complete-20170125.245/dict/julia-mode
DUPTYPE_FIRST_OCCURRENCE 6309 2 236 2053 4011366 1 .emacs.d.spBAK/elpa/biblio-20190624.1408/biblio-pkg.el
DUPTYPE_OUTSIDE_TREE -6309 2 236 2053 4002945 2 .emacs.d.Prelude/elpa/biblio-20190624.1408/biblio-pkg.el
DUPTYPE_FIRST_OCCURRENCE 7085 2 271 2053 4012142 1 .emacs.d.spBAK/elpa/helm-20191108.1447/helm-pkg.el
DUPTYPE_OUTSIDE_TREE -7085 2 271 2053 4003259 2 .emacs.d.Prelude/elpa/helm-20191108.1447/helm-pkg.el
DUPTYPE_FIRST_OCCURRENCE 8313 4 274 2053 4013371 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/audio-preload
DUPTYPE_WITHIN_SAME_TREE -8313 4 274 2053 4013422 1 .emacs.d.spBAK/elpa/web-completion-data-20160318.848/html-stuff/html-attributes-complete/video-preload
DUPTYPE_FIRST_OCCURRENCE 6465 2 285 2053 4011522 1 .emacs.d.spBAK/elpa/dash-20191102.2142/dash-pkg.el
DUPTYPE_OUTSIDE_TREE -6465 2 285 2053 4002961 2 .emacs.d.Prelude/elpa/dash-20191102.2142/dash-pkg.el
